phase,eof,term,legacy,corrected,diff
incipient,5,RKe,0.120338,0.128683,0.00834555
incipient,6,Az,-0.196039,-0.0782093,0.11783
incipient,6,Ae,0.110374,-0.126902,-0.237275
incipient,6,Kz,-0.255498,-0.216315,0.0391822
incipient,6,Ke,0.317195,0.0356935,-0.281501
incipient,6,Cz,-0.221955,-0.0241907,0.197764
incipient,6,Ca,0.0272788,0.0455115,0.0182327
incipient,6,Ck,-0.25022,-0.452274,-0.202054
incipient,6,Ce,-0.181942,-0.442799,-0.260857
incipient,6,Gz,-0.167919,-0.084793,0.0831263
incipient,6,Ge,-0.393225,-0.537815,-0.14459
incipient,6,BAz,-0.240412,-0.0371789,0.203234
incipient,6,BAe,-0.126502,-0.392482,-0.26598
incipient,6,BKz,0.0169818,0.105365,0.0883834
incipient,6,BKe,0.444425,0.362783,-0.081642
incipient,6,BΦZ,-0.225655,-0.121096,0.10456
incipient,6,BΦE,-0.228949,-0.296742,-0.0677937
incipient,6,∂Az/∂t (finite diff.),0.433946,0.341537,-0.0924093
incipient,6,∂Ae/∂t (finite diff.),-0.242411,-0.211928,0.030483
incipient,6,∂Kz/∂t (finite diff.),0.183627,0.058469,-0.125158
incipient,6,∂Ke/∂t (finite diff.),0.145005,0.0147215,-0.130283
incipient,6,RGz,0.374652,0.297273,-0.0773796
incipient,6,RKz,0.120448,-0.00437105,-0.12482
incipient,6,RGe,-0.147156,-0.141815,0.00534149
incipient,6,RKe,-0.374833,-0.373556,0.00127719
incipient,7,Az,0.0219829,0.0395198,0.0175369
incipient,7,Ae,-0.00301234,-0.00633263,-0.0033203
incipient,7,Kz,0.0488581,0.0853933,0.0365352
incipient,7,Ke,-0.178101,-0.122784,0.0553175
incipient,7,Cz,0.383572,0.382438,-0.00113387
incipient,7,Ca,-0.0767401,-0.123712,-0.0469718
incipient,7,Ck,0.466274,0.515028,0.0487539
incipient,7,Ce,-0.149663,-0.124752,0.0249116
incipient,7,Gz,0.321834,0.345848,0.024014
incipient,7,Ge,-0.227669,-0.181622,0.0460479
incipient,7,BAz,0.19076,0.164696,-0.0260634
incipient,7,BAe,0.0880834,0.154579,0.0664952
incipient,7,BKz,-0.181581,-0.121733,0.0598484
incipient,7,BKe,0.626843,0.601048,-0.025795
incipient,7,BΦZ,0.0640105,-0.0121597,-0.0761703
incipient,7,BΦE,0.077323,0.128744,0.0514211
incipient,7,∂Az/∂t (finite diff.),-0.0897977,0.0101123,0.09991
incipient,7,∂Ae/∂t (finite diff.),0.0673882,0.0892453,0.0218571
incipient,7,∂Kz/∂t (finite diff.),-0.00649824,0.0388653,0.0453636
incipient,7,∂Ke/∂t (finite diff.),0.277689,0.256607,-0.0210818
incipient,7,RGz,-0.00271801,0.0498553,0.0525733
incipient,7,RKz,0.0291249,-0.0049388,-0.0340637
incipient,7,RGe,-0.14719,-0.136366,0.0108241
incipient,7,RKe,-0.0547854,-0.0612847,-0.00649932
incipient,8,Az,0.0900189,0.0516373,-0.0383816
incipient,8,Ae,0.0842868,0.12969,0.0454031
incipient,8,Kz,0.0806405,0.0674805,-0.0131601
incipient,8,Ke,0.0912167,0.188924,0.0977073
incipient,8,Cz,-0.0335716,-0.134522,-0.100951
incipient,8,Ca,-0.00951334,0.0385153,0.0480286
incipient,8,Ck,-0.143081,-0.192854,-0.0497725
incipient,8,Ce,-0.0220914,-0.0288879,-0.00679644
incipient,8,Gz,0.00646391,-0.0786903,-0.0851543
incipient,8,Ge,0.0910463,0.0310578,-0.0599885
incipient,8,BAz,-0.157317,-0.117898,0.0394194
incipient,8,BAe,0.242546,0.1289,-0.113646
incipient,8,BKz,0.178164,0.216722,0.0385577
incipient,8,BKe,-0.0318034,0.0313587,0.0631621
incipient,8,BΦZ,-0.0444518,-0.128709,-0.0842571
incipient,8,BΦE,-0.0434731,0.126448,0.169921
incipient,8,∂Az/∂t (finite diff.),0.123723,0.249147,0.125424
incipient,8,∂Ae/∂t (finite diff.),0.722158,0.700743,-0.021415
incipient,8,∂Kz/∂t (finite diff.),0.0996612,0.198805,0.0991442
incipient,8,∂Ke/∂t (finite diff.),0.581886,0.532406,-0.0494798
incipient,8,RGz,0.202091,0.22793,0.0258385
incipient,8,RKz,-0.0876993,-0.0658826,0.0218167
incipient,8,RGe,0.102275,0.190881,0.0886059
incipient,8,RKe,0.153488,0.0795883,-0.0738997
intensification,1,Az,0.242114,0.226646,-0.0154676
intensification,1,Ae,0.748361,0.709861,-0.0385002
intensification,1,Kz,0.357627,0.297343,-0.0602841
intensification,1,Ke,0.730393,0.721588,-0.00880522
intensification,1,Cz,-0.317935,-0.276736,0.0411997
intensification,1,Ca,0.9067,0.890514,-0.016186
intensification,1,Ck,-0.523361,-0.214359,0.309001
intensification,1,Ce,0.887501,0.847177,-0.0403234
intensification,1,Gz,-0.270502,-0.245501,0.0250013
intensification,1,Ge,0.651303,0.622185,-0.0291186
intensification,1,BAz,0.401581,0.396488,-0.00509276
intensification,1,BAe,-0.048943,-0.0912323,-0.0422893
intensification,1,BKz,-0.538841,-0.636751,-0.0979107
intensification,1,BKe,0.285174,0.311672,0.0264983
intensification,1,BΦZ,0.543199,0.670559,0.127359
intensification,1,BΦE,0.430349,-0.788808,-1.21916
intensification,1,∂Az/∂t (finite diff.),-0.335961,-0.244881,0.0910803
intensification,1,∂Ae/∂t (finite diff.),0.240693,0.244572,0.00387966
intensification,1,∂Kz/∂t (finite diff.),0.200109,0.282681,0.0825717
intensification,1,∂Ke/∂t (finite diff.),0.408179,0.380997,-0.0271819
intensification,1,RGz,-0.542575,-0.0699309,0.472644
intensification,1,RKz,0.612348,0.668572,0.0562238
intensification,1,RGe,0.77084,0.281314,-0.489526
intensification,1,RKe,-0.888521,-0.855425,0.0330958
intensification,2,Az,-0.239986,-0.401567,-0.161581
intensification,2,Ae,0.157653,0.23521,0.077557
intensification,2,Kz,0.111848,-0.0422554,-0.154104
intensification,2,Ke,-0.127375,0.100264,0.227639
intensification,2,Cz,-0.333954,-0.583588,-0.249634
intensification,2,Ca,-0.143433,-0.17931,-0.0358773
intensification,2,Ck,0.150599,0.598695,0.448096
intensification,2,Ce,0.167054,0.333225,0.16617
intensification,2,Gz,0.0674265,-0.107658,-0.175085
intensification,2,Ge,0.154196,0.402228,0.248032
intensification,2,BAz,-0.572553,-0.657862,-0.0853083
intensification,2,BAe,0.515823,0.599153,0.0833307
intensification,2,BKz,-0.32892,-0.00182092,0.327099
intensification,2,BKe,-0.283345,0.14064,0.423985
intensification,2,BΦZ,0.684938,0.034816,-0.650122
intensification,2,BΦE,0.736023,0.111188,-0.624835
intensification,2,∂Az/∂t (finite diff.),0.39497,0.106911,-0.288059
intensification,2,∂Ae/∂t (finite diff.),-0.314071,-0.317483,-0.00341187
intensification,2,∂Kz/∂t (finite diff.),0.389516,0.0578198,-0.331696
intensification,2,∂Ke/∂t (finite diff.),-0.391107,-0.0915089,0.299598
intensification,2,RGz,0.498062,0.21722,-0.280843
intensification,2,RKz,0.373137,-0.0154673,-0.388605
intensification,2,RGe,-0.282966,-0.0644946,0.218472
intensification,2,RKe,0.129218,0.0787069,-0.0505113
intensification,3,Az,-0.0270178,-0.0582409,-0.031223
intensification,3,Ae,-0.245034,-0.205546,0.0394874
intensification,3,Kz,-0.3435,-0.156846,0.186654
intensification,3,Ke,-0.00462451,-0.223945,-0.219321
intensification,3,Cz,0.518071,0.198791,-0.31928
intensification,3,Ca,0.0809475,-0.0972618,-0.178209
intensification,3,Ck,-0.35171,-0.246752,0.104958
intensification,3,Ce,-0.161024,-0.164463,-0.00343959
intensification,3,Gz,0.339666,0.245311,-0.0943548
intensification,3,Ge,-0.0513795,-0.106641,-0.0552616
intensification,3,BAz,0.238644,-0.185108,-0.423752
intensification,3,BAe,-0.442402,0.00173151,0.444133
intensification,3,BKz,-0.596945,-0.608055,-0.0111092
intensification,3,BKe,-0.150769,-0.386639,-0.23587
intensification,3,BΦZ,-0.19015,0.647866,0.838015
intensification,3,BΦE,-0.245759,0.0249775,0.270737
intensification,3,∂Az/∂t (finite diff.),0.538647,0.691647,0.153
intensification,3,∂Ae/∂t (finite diff.),0.172086,-0.0231536,-0.19524
intensification,3,∂Kz/∂t (finite diff.),0.509976,0.652748,0.142772
intensification,3,∂Ke/∂t (finite diff.),-0.103253,-0.364136,-0.260883
intensification,3,RGz,0.399671,0.707838,0.308166
intensification,3,RKz,0.612131,0.700728,0.0885974
intensification,3,RGe,0.21023,-0.126447,-0.336678
intensification,3,RKe,-0.0721855,0.163709,0.235895
intensification,4,Az,0.789477,0.675308,-0.114169
intensification,4,Ae,-0.159556,0.0700341,0.22959
intensification,4,Kz,0.649004,0.728016,0.0790117
intensification,4,Ke,-0.378613,-0.27375,0.104863
intensification,4,Cz,-0.0885479,-0.329991,-0.241443
intensification,4,Ca,0.106594,0.144831,0.038237
intensification,4,Ck,-0.179485,-0.0690018,0.110483
intensification,4,Ce,-0.107656,0.034825,0.142481
intensification,4,Gz,-0.342332,-0.425416,-0.0830831
intensification,4,Ge,-0.286016,-0.212211,0.073805
intensification,4,BAz,0.315294,0.0798542,-0.23544
intensification,4,BAe,0.211863,0.537434,0.325571
intensification,4,BKz,0.0294874,0.127573,0.0980858
intensification,4,BKe,-0.379657,-0.322532,0.0571247
intensification,4,BΦZ,0.0675285,0.115385,0.0478565
intensification,4,BΦE,-0.0700991,0.122879,0.192978
intensification,4,∂Az/∂t (finite diff.),0.10874,-0.0287478,-0.137488
intensification,4,∂Ae/∂t (finite diff.),0.308095,0.168464,-0.139631
intensification,4,∂Kz/∂t (finite diff.),0.38791,0.252234,-0.135676
intensification,4,∂Ke/∂t (finite diff.),-0.191352,-0.127732,0.0636203
intensification,4,RGz,-0.278514,-0.244251,0.0342627
intensification,4,RKz,0.130956,0.0232544,-0.107702
intensification,4,RGe,-0.240286,-0.67619,-0.435904
intensification,4,RKe,0.156037,0.179212,0.0231744
intensification,5,Az,0.128754,0.135142,0.00638817
intensification,5,Ae,0.200564,0.112458,-0.0881061
intensification,5,Kz,0.275762,0.173467,-0.102295
intensification,5,Ke,0.0420254,0.0696352,0.0276098
intensification,5,Cz,0.616275,0.517791,-0.0984838
intensification,5,Ca,0.0302198,-0.0461743,-0.0763941
intensification,5,Ck,-0.220029,0.138253,0.358282
intensification,5,Ce,0.0501685,0.162595,0.112427
intensification,5,Gz,0.652619,0.604572,-0.048047
intensification,5,Ge,0.0458913,0.288066,0.242175
intensification,5,BAz,0.0998958,0.08635,-0.0135458
intensification,5,BAe,0.241485,0.446238,0.204753
intensification,5,BKz,0.0197364,-0.0689693,-0.0887057
intensification,5,BKe,-0.308247,-0.0117659,0.296481
intensification,5,BΦZ,0.206563,-0.0424777,-0.249041
intensification,5,BΦE,0.112194,0.345375,0.233181
intensification,5,∂Az/∂t (finite diff.),-0.261163,-0.0949653,0.166197
intensification,5,∂Ae/∂t (finite diff.),0.0442753,0.378676,0.334401
intensification,5,∂Kz/∂t (finite diff.),-0.297939,-0.029745,0.268194
intensification,5,∂Ke/∂t (finite diff.),0.188804,0.425885,0.237081
intensification,5,RGz,0.178142,0.206854,0.0287121
intensification,5,RKz,-0.127931,-0.0409084,0.0870231
intensification,5,RGe,-0.141727,-0.0555223,0.0862048
intensification,5,RKe,0.0865782,0.130856,0.0442781
intensification,6,Az,0.0837185,0.178928,0.0952095
intensification,6,Ae,-0.0751534,-0.392314,-0.31716
