scope,eof,version,term,loading
incipient,7,before,Ae,-0.036892906
incipient,7,after,Ae,-0.0063326327
incipient,7,before,Kz,0.056152996
incipient,7,after,Kz,0.08539327
incipient,7,before,Ke,-0.17212751
incipient,7,after,Ke,-0.12278385
incipient,7,before,Cz,0.36529286
incipient,7,after,Cz,0.38243849
incipient,7,before,Ca,-0.1164224
incipient,7,after,Ca,-0.12371191
incipient,7,before,Ck,0.5103979
incipient,7,after,Ck,0.51502777
incipient,7,before,Ce,-0.10953685
incipient,7,after,Ce,-0.12475175
incipient,7,before,BAz,0.19843099
incipient,7,after,BAz,0.16469629
incipient,7,before,BAe,0.095346321
incipient,7,after,BAe,0.15457861
incipient,7,before,BKz,-0.21238174
incipient,7,after,BKz,-0.12173262
incipient,7,before,BKe,0.66052629
incipient,7,after,BKe,0.60104779
incipient,7,before,BΦZ,0.029582542
incipient,7,after,BΦZ,-0.01215973
incipient,7,before,BΦE,0.047167262
incipient,7,after,BΦE,0.12874411
incipient,7,before,Gz,0.31714595
incipient,7,after,Gz,0.34584777
incipient,7,before,Ge,-0.15901688
incipient,7,after,Ge,-0.18162155
incipient,7,before,∂Az/∂t (finite diff.),-0.043388291
incipient,7,after,∂Az/∂t (finite diff.),0.010112275
incipient,7,before,∂Ae/∂t (finite diff.),-0.00043326665
incipient,7,after,∂Ae/∂t (finite diff.),0.089245329
incipient,7,before,∂Kz/∂t (finite diff.),0.02684237
incipient,7,after,∂Kz/∂t (finite diff.),0.038865313
incipient,7,before,∂Ke/∂t (finite diff.),0.25329171
incipient,7,after,∂Ke/∂t (finite diff.),0.25660712
incipient,7,before,RGz,0.00055160924
incipient,7,after,RGz,0.049855335
incipient,7,before,RKz,0.0633778
incipient,7,after,RKz,-0.004938804
incipient,7,before,RGe,-0.14571475
incipient,7,after,RGe,-0.13636619
incipient,7,before,RKe,-0.0887156
incipient,7,after,RKe,-0.061284718
incipient,8,before,Az,0.14153004
incipient,8,after,Az,0.051637316
incipient,8,before,Ae,0.086576819
incipient,8,after,Ae,0.12968994
incipient,8,before,Kz,0.14846481
incipient,8,after,Kz,0.067480464
incipient,8,before,Ke,0.097001295
incipient,8,after,Ke,0.18892404
incipient,8,before,Cz,0.030829452
incipient,8,after,Cz,-0.13452216
incipient,8,before,Ca,-0.02729709
incipient,8,after,Ca,0.038515256
incipient,8,before,Ck,-0.1027987
incipient,8,after,Ck,-0.19285367
incipient,8,before,Ce,0.034675608
incipient,8,after,Ce,-0.028887866
incipient,8,before,BAz,-0.13843303
incipient,8,after,BAz,-0.11789757
incipient,8,before,BAe,0.29040467
incipient,8,after,BAe,0.12890015
incipient,8,before,BKz,0.19663741
incipient,8,after,BKz,0.21672183
incipient,8,before,BKe,-0.024329501
incipient,8,after,BKe,0.031358674
incipient,8,before,BΦZ,-0.045922239
incipient,8,after,BΦZ,-0.12870896
incipient,8,before,BΦE,-0.04884087
