track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
20140932,after,-0.84279101,0.80493557,-0.62254555,0.70567057,0.42351735,3.3057166,0.3867931,-1.4247197
20140935,after,-0.15484982,0.58107031,-0.8478928,-0.22794016,0.49045828,0.33108668,0.42225642,-0.3368856
20140942,after,0.071140877,0.43730904,-0.94878345,1.0777423,-1.1800249,0.20409796,-0.20807072,-0.26254688
20140950,after,0.0027624489,1.1844142,0.24530157,0.69104549,0.23134428,1.1604339,-0.017311062,-0.18962323
20140951,after,-0.84893905,-0.43529639,-0.32960303,-0.039663744,0.83322684,-0.29793549,-0.78321484,-0.079524374
20140979,after,0.57738683,-0.37742275,3.3123362,-1.8223232,0.264965,0.40455006,-0.062044193,0.06414562
20140997,after,0.50458748,-0.18435881,1.1187718,-0.53219097,0.60142081,0.068832347,-0.65182052,0.013026551
20141009,after,-0.57695393,0.83080568,-0.10718074,-0.61169756,-0.75397137,-0.14188404,-1.7464463,-0.2533711
20141014,after,-0.35652712,0.30465948,-0.37644842,-0.39423082,0.37897253,-0.13396457,0.2595136,-0.42754195
20141021,after,-2.846956,-0.6847973,1.061128,-0.85568781,-2.5226424,2.6844357,3.8579136,2.8562874
20141035,after,0.91045714,-1.4695981,-0.85229683,0.28057594,1.7426575,-0.83416122,2.0058158,-0.78879542
20141039,after,-0.66152161,-1.5052907,1.3791362,0.5118491,-1.212552,-0.75893012,-0.3625738,-1.2352499
20141045,after,-0.41084889,-1.5836056,1.2191464,4.0609232,-2.0474347,-0.68713049,0.22385929,-0.44078178
20141063,after,0.37210193,-0.16276076,-0.83269883,-0.49990674,1.0163517,-0.70815844,0.11386567,-0.43180475
20141068,after,-0.60593451,0.061938111,-0.034198424,-0.48203729,-0.27705173,-0.66672504,-0.1314079,-0.22018941
20141074,after,-0.12571381,0.76670195,-1.3462568,0.94370212,0.88423536,0.15408238,0.5856434,-0.45134098
20141089,after,1.3091455,-0.90677189,-0.63619954,-0.20572239,2.4863308,-0.71532662,1.7240152,-0.99807404
20141103,after,-0.18964886,-0.59487418,0.24866739,-0.73495007,-0.51748562,0.33675847,-0.11069264,0.36157893
20141104,after,-0.92729818,0.15060171,0.044029221,0.72829568,0.58392011,-0.47435918,-1.626693,-0.082909522
20141148,after,-0.41250834,1.882358,-0.28639348,-1.3670489,-1.0204026,-0.037288032,3.04031,-0.44448613
20141160,after,-0.43216678,0.31826972,-1.0997412,-0.20746628,0.5279035,-0.48429967,-0.36814704,-0.17304604
20141165,after,-0.84285154,0.24703443,0.20260072,0.57404367,0.0095749478,-1.1193942,0.62229047,-0.18465722
20141169,after,0.20995568,0.13057386,-0.4658357,-0.32428656,-0.18102855,0.080214228,-0.18728544,0.2008691
20141177,after,-1.0592139,0.4553514,-0.55114896,-0.7178798,-0.3706122,-0.54379878,-0.032417973,-0.054705593
20150005,after,0.31916276,0.43216133,0.049447968,-0.67090496,-0.48669451,-0.39008743,-0.57650516,0.38198022
20150015,after,-0.89243387,-0.68941375,0.38350436,0.84423585,-0.49938424,0.093441746,-0.046412197,-0.90519199
20150017,after,-0.84169994,1.0427366,-0.96738699,-0.29858374,0.49808388,-0.80652152,-0.58223692,0.025491295
20150024,after,0.7210874,2.6324424,-1.1385752,2.4752305,0.33473452,-0.035193429,0.12844044,0.90293484
20150025,after,-0.39360128,-0.92614895,0.42900638,0.80749924,-0.95404914,-1.1830091,0.11636735,-0.32582788
20150039,after,1.49915,-0.31374572,-0.50834513,-0.75701646,1.7188645,-0.33980207,-0.72479624,-0.4052356
20150049,after,0.51454946,0.23708891,-0.58847555,-0.083007019,1.0891161,-0.032744207,-0.73896217,-1.3552727
20150053,after,-0.82997713,0.87789414,-1.7673244,-0.26562477,-0.24616245,0.77466027,-0.037567796,0.24944298
20150069,after,0.67916443,-0.86529411,-0.92052434,-1.2844891,-0.40124344,-0.30865488,2.5156719,0.61436944
20150083,after,-1.1389112,-0.50410492,0.73231591,0.64407586,-0.2101609,-0.47357289,-0.28652745,-0.92917403
20150097,after,-0.50058158,-0.22268598,-1.3959705,-0.95597382,0.21241028,-0.34641598,0.27723726,0.30101848
20150100,after,-1.2458811,0.057484703,0.48816393,-0.065222316,0.53550642,-0.06959343,0.30179147,0.21073068
20150108,after,-0.10012154,-0.047830627,-0.29856503,-1.1744112,-0.034972568,-0.49235872,-0.25154978,-0.57724613
20150123,after,-0.19349086,0.10070504,-1.2317485,-0.58201947,0.53969325,-0.30236683,-0.15789285,-0.41712873
20150135,after,-1.0179864,-0.13549296,0.32297819,0.006190964,-0.032860236,0.34439906,-0.64555492,-0.50958278
20150149,after,-0.902421,0.18454717,-1.0580867,-0.69864848,0.059556568,-0.65663313,0.15040728,0.57842249
20150167,after,-0.39576482,-0.53310671,-0.82125839,0.49057995,-0.77807134,-0.19331711,0.11167203,0.48725032
20150175,after,-0.12514669,0.056757959,-0.95140862,-0.20425495,0.77287245,-0.98832028,0.22532874,-0.6473874
20150185,after,-0.83921263,0.70068476,0.9403324,-0.10079784,0.044063754,-0.34476481,0.63699747,-1.1545014
20150187,after,-0.95035626,0.44285148,-1.1998521,-0.6599409,-0.065545431,-0.40303697,-0.26020137,-0.18081788
