version,eof,term,loading
after,6,RGz,0.10206488
after,6,RKz,-0.053677855
after,6,RGe,-0.24272156
after,6,RKe,0.056517968
after,7,Az,0.1260596
after,7,Ae,0.091096027
after,7,Kz,0.10388692
after,7,Ke,0.085698397
after,7,Cz,-0.17642605
after,7,Ca,0.00042675976
after,7,Ck,-0.18884697
after,7,Ce,0.077221108
after,7,BAz,-0.1866007
after,7,BAe,0.25795082
after,7,BKz,0.20384972
after,7,BKe,-0.31503903
after,7,BΦZ,-0.045242859
after,7,BΦE,0.12055457
after,7,Gz,-0.04993503
after,7,Ge,0.22728407
after,7,∂Az/∂t (finite diff.),0.080825051
after,7,∂Ae/∂t (finite diff.),0.53212026
after,7,∂Kz/∂t (finite diff.),0.12122945
after,7,∂Ke/∂t (finite diff.),0.59085761
after,7,RGz,0.14552608
after,7,RKz,-0.069207206
after,7,RGe,0.0039134063
after,7,RKe,0.18467756
after,8,Az,0.042777469
after,8,Ae,0.040582734
after,8,Kz,-0.051431927
after,8,Ke,0.12354179
after,8,Cz,0.1060564
after,8,Ca,-0.044210996
after,8,Ck,0.095669012
after,8,Ce,-0.25967833
after,8,BAz,-0.0274692
after,8,BAe,0.0088662687
after,8,BKz,-0.23282071
after,8,BKe,0.54101939
after,8,BΦZ,0.11318401
after,8,BΦE,0.11515679
after,8,Gz,-0.095708831
after,8,Ge,-0.43522309
after,8,∂Az/∂t (finite diff.),-0.00087353068
after,8,∂Ae/∂t (finite diff.),0.20281441
after,8,∂Kz/∂t (finite diff.),0.023435699
after,8,∂Ke/∂t (finite diff.),0.43456175
after,8,RGz,0.082186915
after,8,RKz,0.16079172
after,8,RGe,-0.24145234
after,8,RKe,-0.15681401
