track_id,PC1,PC2,PC3,PC4,sign,dominant_eof
19900953,-0.51646648,1.1681441,-1.7022852,0.82473271,negative,3
19901017,2.0439483,0.89497597,-0.0074148001,-3.1959478,negative,4
19901020,-0.75878138,-1.3012419,-2.7037016,0.23413039,negative,3
19901047,-1.2367946,-1.3497446,0.013669635,-1.5758997,negative,4
19901100,-0.41884724,-0.5595707,-2.4024908,-0.18110127,negative,3
19901102,0.21216006,-0.27642907,-3.0473377,2.2052918,negative,3
19901130,0.0077805549,-1.7622857,-0.039658429,-0.11172901,negative,2
19901136,-1.2714303,0.33331379,-0.17564685,-0.29762249,negative,1
19910030,-1.1572711,-0.39013769,0.61062528,-1.4159704,negative,4
19910034,-0.63991444,-1.6953355,0.52723342,-0.9864225,negative,2
19910057,1.088789,-2.2831184,1.4685118,2.1419643,negative,2
19910068,1.018511,-0.061504496,0.71078969,-2.99834,negative,4
19910214,-1.2572827,0.1657549,0.62712068,0.06163771,negative,1
19910310,0.6612288,-0.26479674,-0.0011771586,-2.8788377,negative,4
19910317,2.4349859,-0.40359549,0.3247246,-1.7394038,negative,4
19910380,0.91984589,0.01856462,-2.352603,1.515309,negative,3
19910416,-1.3257827,-2.1791089,-0.75172939,1.3968435,negative,2
19910449,-0.22478306,1.2338914,-2.2443246,0.3147106,negative,3
19910454,-0.22658753,-1.4173883,-1.8416369,-0.98853183,negative,3
19910524,2.174075,0.11876141,-1.4709109,1.3774818,negative,3
19910571,0.064451304,0.6943172,0.90775998,-2.2922232,negative,4
19910585,-1.0935501,-0.048595018,-0.69758886,-0.53126658,negative,1
19910603,2.8720974,-0.86395185,-0.84139986,-2.6572247,negative,4
19910624,0.54787863,-0.96068614,-1.4889313,1.8734198,negative,3
19910643,-0.47898276,-0.38546392,-2.344832,-1.7314967,negative,3
19910662,1.8159804,-1.1212686,-1.4565053,0.37461189,negative,3
19910683,-0.19251928,0.56841276,-1.8178839,0.13852834,negative,3
19910747,-0.050404954,-2.1479276,-2.3573605,-0.96535469,negative,3
19910770,0.10349822,0.78243996,0.46855273,-2.7921984,negative,4
19910777,-1.9703594,-1.0305749,-1.9436052,-0.52370929,negative,1
19910806,-2.0573491,-2.0909949,-0.45327563,-0.79955397,negative,2
19910825,1.6425559,-1.473046,2.0095811,1.2254834,negative,2
19910826,-1.5896379,-0.29166445,-1.3105148,-1.1536609,negative,1
19910975,-1.5118377,-0.59050536,0.15596122,0.072799026,negative,1
19911037,0.83546739,1.9934671,-2.7067652,0.18702598,negative,3
19911060,-0.65329155,0.40455017,-0.40105468,-1.2147285,negative,4
19920029,-1.127496,-0.28037317,0.13466151,-0.01177845,negative,1
19920043,1.9343295,-1.4977351,-0.30744904,-1.8918192,negative,4
19920090,-1.3458002,0.75662844,-0.71720918,0.82320359,negative,1
19920112,-1.112725,-0.48225643,-0.014655459,-0.13650422,negative,1
19920172,-1.8869431,-0.19655179,0.71440405,-1.235204,negative,1
19920197,-0.028298327,0.77549792,-0.22308712,-1.2766876,negative,4
19920229,-0.33966451,-1.2741916,-1.8404134,-1.6018171,negative,3
19920308,0.30859732,-1.2843673,1.826579,1.0682084,negative,2
19920330,-0.94786443,-1.2349728,-0.14025786,4.2559682,negative,2
19920391,-1.564006,0.0087845523,-0.8046631,0.36595692,negative,1
19920418,1.6906895,-1.0020519,-0.15776097,-1.1570469,negative,4
19920424,-0.0066242556,-0.40748031,-1.4379445,2.4386401,negative,3
19920433,0.41567764,0.83031807,-1.5632058,0.13195747,negative,3
19920442,0.36463933,-1.087095,-2.316181,0.30316395,negative,3
19920451,-1.1114632,-0.28616211,-1.1749311,1.1663901,negative,3
19920472,2.818683,-1.4422691,-0.77628967,1.2322376,negative,2
19920501,1.6818567,-1.4229738,0.56533319,-0.65849043,negative,2
19920507,1.3388904,-2.7060996,0.28712098,0.33495124,negative,2
19920579,-0.77986572,0.65419664,-1.6303544,0.61565832,negative,3
19920614,0.54690413,0.29716356,-1.4392829,-1.1478294,negative,3
19920628,-0.36119336,-2.1335931,-0.31607498,0.89793921,negative,2
19920670,-1.1686066,0.45333311,0.74392272,0.23808632,negative,1
19920679,-0.06974201,-2.2595908,1.8382211,1.4733889,negative,2
19920685,0.17067175,-0.35588905,-1.6691205,1.149053,negative,3
19920700,-1.5631817,1.1820059,-0.043864753,-1.2358788,negative,1
19920709,-1.6925099,-0.0038890837,-1.1351214,0.49993569,negative,1
19920719,1.0248156,0.90635396,-0.63167384,-1.1365108,negative,4
19920791,0.99703538,0.56397642,-0.076260622,-1.8632945,negative,4
19920829,-1.092166,-0.32398624,-0.42329512,0.1207066,negative,1
19920877,-1.1762115,-0.16744259,-0.067344029,-0.84782312,negative,1
19920879,-0.015729383,0.28233446,0.6844499,-1.3632253,negative,4
19920931,-1.5781308,-3.5606755,-0.042949133,-0.2319336,negative,2
19920953,0.96509114,-2.5826355,1.3718757,0.20197758,negative,2
19920960,-1.1386356,-0.94635971,0.0026508519,-0.8581078,negative,1
19920967,-1.3389283,-1.0821833,-0.39698952,-0.37293783,negative,1
19921005,3.3679355,1.9121174,-3.6672846,1.8010966,negative,3
19921146,-1.4938936,-0.40924743,-0.30473193,0.93435429,negative,1
19921160,-1.2335057,0.15455086,1.0204881,-0.53607965,negative,1
19930012,-1.1624774,1.2130853,-0.06391203,-0.080328584,negative,1
19930018,-1.2537251,-0.9308032,-0.156456,-0.7524651,negative,1
19930039,-1.3096178,0.40772702,0.0019429868,-0.70716787,negative,1
19930045,2.2552053,1.4551166,-2.9350281,0.40620685,negative,3
19930052,-1.7838935,-0.25016504,-0.59959109,-0.75394478,negative,1
19930061,-1.0884371,-1.0152395,0.67191317,-0.58639316,negative,1
19930080,-1.543209,-0.32224153,-0.29691372,-0.96712485,negative,1
19930211,-1.1578461,0.57619536,0.79181692,-0.42659383,negative,1
19930246,-1.270868,-0.2812423,0.29922812,-1.3173199,negative,4
19930261,-1.2720614,-0.064658157,0.43057422,0.57600367,negative,1
19930293,-1.2804597,0.50808273,1.0775041,-0.18684846,negative,1
19930314,0.32437816,-1.4936794,1.0390967,0.38250622,negative,2
19930356,0.91651852,0.28392576,-1.4862342,0.24004706,negative,3
19930364,-1.1209444,0.76771048,-0.1250065,0.25081702,negative,1
19930443,-1.6174825,0.46300703,0.24625089,-1.624239,negative,4
19930472,2.0422563,2.0230069,-2.4101525,1.9111977,negative,3
19930476,3.2254965,2.1587204,2.3595665,-4.3217901,negative,4
19930505,0.58475605,-1.3320426,-1.0809828,1.2897028,negative,2
19930531,3.149974,-2.9473015,-0.22782162,1.0014772,negative,2
19930602,0.21024547,-2.2113365,0.13221418,-0.67175789,negative,2
19930649,0.078158779,0.69690355,1.2919784,-2.1423434,negative,4
19930654,1.2693642,-0.53614201,0.71912646,-1.4857263,negative,4
19930666,2.7094093,-2.2543618,-0.28438388,-0.43652968,negative,2
19930680,2.2974791,0.813078,0.15120448,-1.9452822,negative,4
19930687,1.5786721,0.58292812,-0.1704885,-1.4038327,negative,4
19930733,-1.5809018,-1.0969825,0.22549555,-1.1937104,negative,1
19930755,0.98399129,0.60159133,-0.0054234925,-2.7654285,negative,4
19930756,-1.8896053,-1.6645641,-0.63925314,-1.2388521,negative,1
19930762,-0.42176203,0.70376216,-2.1104866,0.47593387,negative,3
19930886,-0.034965569,-1.292756,0.25969185,-0.15494016,negative,2
19930902,-1.191858,0.26076942,-0.2220318,-0.42021235,negative,1
19930909,0.76825444,-0.72835733,-0.83951145,-1.6778463,negative,4
19930943,-1.0839322,0.36670521,0.68109872,-0.60229113,negative,1
19930958,1.9897531,3.5637128,-1.9320358,0.68028343,negative,3
19930961,-1.0217562,0.7899701,-1.6004394,-1.3942174,negative,3
19930970,2.0254423,0.64806885,-3.7026712,1.2782447,negative,3
19930998,-1.2198187,0.3969623,0.41032589,0.1781872,negative,1
19931022,1.3090468,0.64104162,-1.6729935,-1.3366157,negative,3
19931037,-1.1766314,-0.96895021,0.35405439,-1.2125679,negative,4
19931081,-0.45210134,-1.2378013,0.87429474,0.99524398,negative,2
19931096,0.2488583,-1.5466162,0.67915811,1.2779354,negative,2
19931108,1.1584214,0.68526177,-1.3003275,1.3304705,negative,3
19931114,-1.4180756,-0.67349288,0.21244501,0.28244421,negative,1
19931162,1.6371662,-0.57580552,-0.55933029,-2.0998817,negative,4
19940029,-1.2895759,-0.48209788,-0.62458203,-0.23346696,negative,1
19940051,2.0930352,-3.0428659,0.88100972,1.0098593,negative,2
19940058,-1.4206518,0.45240321,0.81252613,-0.57771743,negative,1
19940081,-0.8464071,-0.171276,-2.0509458,0.67260676,negative,3
19940106,0.10631806,-0.76035639,-1.7625501,-1.0869525,negative,3
19940182,-1.4302109,-0.61394637,0.41814791,-0.49100099,negative,1
19940246,0.014690232,-0.82600482,-1.1391984,-2.3964104,negative,4
19940272,-1.1419003,0.34805421,0.19053843,0.021313161,negative,1
19940310,2.0210024,1.3430351,-1.1920215,-1.3850404,negative,4
19940325,0.28874103,-2.5241083,-1.8318617,-0.98809965,negative,2
19940383,0.98979531,1.0789102,-1.436132,1.7376946,negative,3
19940408,-0.72509805,2.9971219,-1.3620106,0.96251023,negative,3
19940431,0.40914773,-1.5330164,-0.70168168,-1.5524979,negative,4
19940466,-1.33527,0.55308879,0.060469827,-0.28465698,negative,1
19940472,-1.4438013,-1.8390881,-1.1693551,-0.44708139,negative,2
19940479,1.3011819,0.0241759,-1.7270394,-1.0463753,negative,3
19940548,-0.77446561,-4.1397186,-2.1788465,-1.2905746,negative,2
19940640,0.20856415,-0.39084745,-1.325636,-1.1239267,negative,3
19940674,0.68954407,-1.5661958,0.76065049,-0.95798898,negative,2
19940764,-0.73690804,-1.5901645,0.86490391,-0.14837496,negative,2
19940804,1.0850124,3.3581486,1.3006669,-2.688774,negative,4
19940862,0.35011318,-0.76061704,0.04346579,-2.9369004,negative,4
19940882,-1.0451727,-0.82400419,-1.6815252,0.27094994,negative,3
19940894,-1.3206202,-0.20444759,-1.2788997,-0.62983945,negative,1
19940899,1.9311126,3.4772363,-2.1880111,-0.070645307,negative,3
19940933,0.11257851,-1.2092043,0.19811247,2.3496578,negative,2
19940943,0.19097908,1.4594493,-1.4756992,0.20395745,negative,3
19941038,-1.1091358,-0.27132313,0.124551,0.22839237,negative,1
19941069,0.2988989,0.81641401,-1.554437,-1.1885108,negative,3
19941113,-1.3011642,0.65323255,0.3872131,0.013523379,negative,1
19941127,-1.0755252,-0.47493194,0.45414073,0.30027233,negative,1
19941156,-1.4592578,0.12732873,0.52994911,-0.52289732,negative,1
19941166,-1.0842391,1.405179,0.67529388,-0.45472928,negative,1
